Plant Name,Min,Max
Alpine Current,21,40
American Filbert,21,60
American Holly,21,40
Amur Privet,21,40
Arborvitae,21,40
Azealeas,21,60
Bald Cypress,21,80
Barberry,21,40
Bayberry,,
Birch,41,60
Black Tupelo,21,21
Chinese Juniper,21,21
Clematis,21,60
Common Boxwood,21,40
Common Elderberry,41,60
Common Lilac,21,40
Cotoneaster,,
Crab Apple,21,40
Crape Myrtle,21,60
Dawn Redwood,41,80
Dogwood,41,80
Eastern Red Cedar,21,40
Elderberry,21,80
Elm,21,60
Frazier Fir,21,40
Gardenia,21,40
Ginkgo,21,40
Hawthorn,21,40
Holly,21,40
Honey Locust,21,40
Horse Chestnut,21,40
Hydragea,41,60
Juniper,21,40
Lilac,21,40
Maple (general),21,40
Mockorange,21,40
New Jersey Tea,21,40
Oaks (general),21,40
Ohio Buckeye,21,40
Potentilla,0,40
Red Cedar,41,60
Red Twig Dogwood,41,60
Rhodendron,41,60
Roses,21,40
Rugosa rose,0,40
Saucer magnolia,21,40
Serviceberry,21,60
Silver Maple,21,60
Spirea,21,40
Spruce,21,40
Sugar Maple,21,40
Swamp White Oak,61,80
Sweetshrub,21,60
Tamarac/Larch,41,80
White Fir,21,40
White Pine,41,60
Willow,41,80
Agave,0,40
Aster,21,40
Astilbe,41,60
Big Blue Stem,21,40
Bleeding Heart,41,60
Butterfly Weed,21,40
Cactus,0,40
Catmint,21,40
Christmas Fern,21,40
Coneflower,21,40
Daffodil,21,60
Dalia,21,60
Daylilly,21,60
Galllardia,21,40
Heaths/Heathers,21,40
Hellebores,41,60
Hosta,21,60
Hyssop,21,40
Iris,21,60
Ironweed,41,60
Jack In Pulpits,41,60
Joe-Pye Weed,41,60
Lavendar,21,40
Lemon Balm,21,40
Lily,21,60
Lobellia,41,80
Lupine,41,60
Marigold,21,40
Marsh Marigold,61,80
May Apple,41,60
Meadow Rue,41,80
Monarda,21,40
Ornamental Grasses,21,40
Penstemon,21,40
Peony,21,60
Petunia,21,40
Poppy (general),21,40
Purple Coneflower,21,40
Queen of the Prairie,41,60
Red Milkweed,41,60
Sedges,21,80
Sedum,0,41
Sod,,
Turfgrass,,
Pansy,21,60
Tulip,21,60
Violet,21,60
Yarrow,0,40
Yucca,0,40
Zinnia,21,40
Apple,21,60
Grapes,21,60
Fig,21,60
Pear,21,60
Peach,21,60
Pear,21,60
Raspberry,21,60
Strawberry,21,60
Blackberry,21,60
Blueberry,41,60
Cranberry,61,80
Vegetable,41,80